api_gap:cuKernelGetFunction,api_gap:cuLaunchKernel,api_gap:cudaEventCreateWithFlags,api_gap:cudaEventRecord,api_gap:cudaEventSynchronize,api_gap:cudaLaunchKernel,api_gap:cudaLaunchKernelExC,api_gap:cudaMalloc,api_gap:cudaMemcpyAsync,api_gap:cudaMemsetAsync,api_gap:cudaStreamIsCapturing,api_gap:cudaStreamSynchronize,completion_boundary,completion_monotonic_ns,copy_in_gap_ms,decode_ms,gap_outside_cuda_api_ms,gap_outside_module_ms,gap_without_copy_ms,host_module_gap:backbone,host_module_gap:bbox_head,host_module_gap:data_preprocessor,host_module_gap:decoder,host_module_gap:encoder,host_module_gap:neck,host_module_gap:positional_encoding,host_module_wall:backbone,host_module_wall:bbox_head,host_module_wall:data_preprocessor,host_module_wall:decoder,host_module_wall:encoder,host_module_wall:neck,host_module_wall:positional_encoding,inference_end_ns,inference_start_ns,input_id,latency_ms,model_id,mps_enabled,nonkernel_ms,preprocess_ms,run_id,scene_id,source_frame_id
0.0,0.00018,0.002107,0.002338,0.001845,1.342509,0.0,,0.41735,0.093261,,0.545935,NVTX inference includes CUDA event synchronization,3124282074868044,0.326915,3.419587,5.895248,1.4693139999999998,7.973858,0.094739,1.292476,0.807376,3.547019,1.082096,0.002304,0.005449,3.522268,1.731359,0.881873,10.220493,26.544795,0.337912,1.337284,8362785373,8300192131,14,62.593242,dino,False,8.300773,1.610443,i2-i30-0770,scene-0770,scene-0770:image:14
0.000399,0.001566,0.002191,0.002354,0.001761,1.333678,0.0,,0.406574,0.096944,,0.557045,NVTX inference includes CUDA event synchronization,3124282145640317,0.326821,3.409783,5.754552,1.4525370000000004,7.830243,0.092653,1.202559,0.809408,3.527129,1.06321,0.004448,0.00512,3.429601,1.647682,0.882625,10.1803,26.544481,0.342386,1.313295,8433557322,8371170825,15,62.386497,dino,False,8.157064,1.906489,i2-i30-0770,scene-0770,scene-0770:image:15
0.0,0.0,0.002066,0.003017,0.001693,1.342232,0.0,,0.412471,0.093467,,0.534388,NVTX inference includes CUDA event synchronization,3124282245437692,0.310787,3.397799,5.990647000000001,1.438505000000001,8.069194000000001,0.094409,1.24461,0.863133,3.636882,1.094058,0.002592,0.005792,3.497961,1.655909,0.934493,10.054482,26.660159,0.34682,1.318158,8533355511,8471188533,16,62.166978,dino,False,8.379981,1.681817,i2-i30-0770,scene-0770,scene-0770:image:16
0.0,0.0,0.002353,0.002443,0.00177,1.373873,0.0,,0.40535,0.10413,,0.53213,NVTX inference includes CUDA event synchronization,3124282315215417,0.316387,3.35315,5.979438,1.4643439999999996,8.085099999999999,0.086777,1.369429,0.762941,3.625533,1.08379,0.00432,0.004353,3.374896,1.812857,0.835517,10.376859,26.631307,0.323618,1.3482,8603132055,8540341781,17,62.790274,dino,False,8.401487,1.616519,i2-i30-0770,scene-0770,scene-0770:image:17
0.0,3e-06,0.00214,0.002301,0.002246,1.387583,0.0,,0.472054,0.09997,,0.51943,NVTX inference includes CUDA event synchronization,3124282447008814,0.354722,11.117296,6.243593,1.4835179999999992,8.374597999999999,0.099826,1.246979,1.001719,3.801234,1.087243,0.002592,0.006209,3.576053,1.651653,1.072248,10.126873,26.602144,0.334338,1.368353,8734925869,8672505392,18,62.420477,dino,False,8.72932,2.789658,i2-i30-0770,scene-0770,scene-0770:image:18
0.0,0.0,0.002127,0.0024,0.001596,1.355897,0.0,,0.406367,0.088784,,0.542628,NVTX inference includes CUDA event synchronization,3124282516387799,0.323236,3.328945,5.854718,1.4538649999999995,7.931281,0.087655,1.254954,0.773311,3.569186,1.106991,0.004224,0.004331,3.46544,1.688404,0.845632,10.184508,26.631495,0.329445,1.30661,8804304906,8741933879,19,62.371027,dino,False,8.254517,1.641704,i2-i30-0770,scene-0770,scene-0770:image:19
0.0,0.0,0.00225,0.002445,0.001652,1.357957,0.0,,0.437691,0.097331,,0.555356,NVTX inference includes CUDA event synchronization,3124282586507977,0.373059,3.674171,5.811401999999999,1.4683979999999996,7.893025,0.088732,1.217125,0.787444,3.644344,1.051017,0.004448,0.004576,3.410432,1.66212,0.881557,10.263068,26.693515,0.326838,1.300702,8874424999,8811777730,20,62.647269,dino,False,8.266084,1.633974,i2-i30-0770,scene-0770,scene-0770:image:20
0.0,0.0,0.002176,0.002254,0.001829,1.384689,0.0,,0.404594,0.094441,,0.555752,NVTX inference includes CUDA event synchronization,3124282657211038,0.328164,3.399021,6.083799,1.5127540000000002,8.20137,0.092237,1.218115,0.768583,3.540229,1.38952,0.003136,0.00496,3.451445,1.646471,0.844488,10.074814,27.621339,0.33697,1.320835,8945128495,8881667914,21,63.460581,dino,False,8.529534,1.750912,i2-i30-0770,scene-0770,scene-0770:image:21
0.0,0.0,0.002153,0.002229,0.001794,1.333047,0.0,,0.40179,0.094871,,0.521678,NVTX inference includes CUDA event synchronization,3124282752397650,0.334693,8.820023,6.699149,1.4497720000000003,8.722018,0.097494,1.200874,0.853285,3.360734,2.086421,0.002688,0.005443,3.612928,1.649935,0.92455,10.201824,27.661557,0.334254,1.334147,9040314370,8976915066,22,63.399304,dino,False,9.056711,1.7985,i2-i30-0770,scene-0770,scene-0770:image:22
0.0,0.0,0.002296,0.002848,0.00165,1.383691,0.0,,0.40912,0.101471,,0.54679,NVTX inference includes CUDA event synchronization,3124282822172746,0.31309,3.356979,5.9352350000000005,1.5055319999999996,8.070011,0.092272,1.210865,0.787835,3.673851,1.10385,0.004384,0.004512,3.39362,1.648923,0.862428,10.206726,26.687335,0.335472,1.326953,9110090216,9047296781,23,62.793435,dino,False,8.383101,1.475806,i2-i30-0770,scene-0770,scene-0770:image:23
0.000357,0.0,0.002299,0.002995,0.00177,1.333298,0.000512,,0.402927,0.093787,,0.549165,NVTX inference includes CUDA event synchronization,3124282933722574,0.327364,3.41831,5.785768000000001,1.4582460000000008,7.8455140000000005,0.10314,1.211039,0.849572,3.443539,1.100046,0.00224,0.005056,3.608564,1.661025,0.920549,10.262244,26.760571,0.342846,1.332783,9221639446,9158860266,24,62.77918,dino,False,8.172878,1.549612,i2-i30-0770,scene-0770,scene-0770:image:24
0.0,0.000576,0.002531,0.002889,0.001859,1.335144,0.0,,0.404997,0.091032,,0.535732,NVTX inference includes CUDA event synchronization,3124283004070866,0.345092,3.349326,5.671854,1.5169689999999996,7.701522,0.104845,1.213122,0.762641,3.367043,1.073034,0.00064,0.00832,5.836496,1.662181,0.864082,10.025675,26.804768,0.339152,1.33626,9291988114,9228893239,25,63.094875,dino,False,8.046614,1.728452,i2-i30-0770,scene-0770,scene-0770:image:25
0.0,6.7e-05,0.002084,0.002348,0.001947,1.283844,0.0,,0.384397,0.091516,,0.561128,NVTX inference includes CUDA event synchronization,3124283073454479,0.322596,3.400421,5.473227,1.4275189999999993,7.477962,0.096761,1.228705,0.753874,3.235896,1.049291,0.003552,0.00496,3.475324,1.674275,0.829747,10.015866,26.557106,0.338994,1.34388,9361371350,9299011347,26,62.360003,dino,False,7.800558,1.71924,i2-i30-0770,scene-0770,scene-0770:image:26
0.0,0.001249,0.001988,0.002452,0.00169,1.354149,0.000576,,0.389329,0.098121,,0.5581,NVTX inference includes CUDA event synchronization,3124283145546311,0.320036,3.381376,5.653035999999999,1.466830999999999,7.740653999999999,0.100079,1.199625,0.78469,3.430955,1.069422,0.004512,0.004576,3.422138,1.644973,0.858611,10.095706,26.703148,0.325422,1.330874,9433463068,9370890610,27,62.572458,dino,False,8.06069,1.745767,i2-i30-0770,scene-0770,scene-0770:image:27
0.0,0.0,0.002152,0.002953,0.001823,1.337075,0.0,,0.451633,0.087693,,0.525323,NVTX inference includes CUDA event synchronization,3124283447281018,0.348835,11.464133,5.695410000000001,1.445044000000001,7.7552270000000005,0.108341,1.168627,1.028487,3.295695,1.049068,0.002144,0.006656,3.631583,1.620632,1.10036,10.137196,26.575578,0.338608,1.389327,9735198543,9672706582,30,62.491961,dino,False,8.104062,2.924255,i2-i30-0770,scene-0770,scene-0770:image:30
0.0,0.0,0.002626,0.002494,0.00167,1.346182,0.0,,0.387774,0.093784,,0.538587,NVTX inference includes CUDA event synchronization,3124283516571564,0.313316,3.33649,5.772857999999999,1.433319,7.832659,0.087741,1.252722,0.736396,3.547402,1.081259,0.002752,0.004384,3.445815,1.659226,0.815917,9.924854,26.729354,0.323705,1.307108,9804488497,9742067645,31,62.420852,dino,False,8.145975,1.642624,i2-i30-0770,scene-0770,scene-0770:image:31
0.000282,0.000544,0.001978,0.002959,0.001884,1.322665,0.0,,0.390602,0.09535,,0.552377,NVTX inference includes CUDA event synchronization,3124283586089453,0.332514,3.370406,5.685910999999999,1.4178469999999992,7.7220379999999995,0.087432,1.191054,0.817029,3.481435,1.050954,0.004161,0.00464,3.373439,1.635666,0.88903,10.199525,26.676093,0.326804,1.296789,9874006751,9811614890,32,62.391861,dino,False,8.054552,1.671968,i2-i30-0770,scene-0770,scene-0770:image:32
0.0,0.001184,0.002201,0.002313,0.001832,1.352576,0.000382,,0.398935,0.093287,,0.552559,NVTX inference includes CUDA event synchronization,3124283655695064,0.327235,3.383305,5.869321999999999,1.4896909999999988,7.947355999999999,0.087628,1.22382,0.759497,3.564438,1.140813,0.004384,0.00432,3.420496,1.660015,0.835274,10.197984,26.742977,0.325292,1.298505,9943613081,9880990144,33,62.622937,dino,False,8.274591,1.658265,i2-i30-0770,scene-0770,scene-0770:image:33
0.0,0.0,0.001924,0.002334,0.001652,1.366241,0.0,,0.403923,0.090704,,0.531657,NVTX inference includes CUDA event synchronization,3124283745738787,0.321924,3.447976,6.040817,1.4565839999999994,8.117328,0.094687,1.2352,0.851992,3.691143,1.101038,0.002656,0.005952,3.49293,1.642118,0.924153,10.131719,26.632716,0.339342,1.298241,10033655743,9971323958,34,62.331785,dino,False,8.439252,1.712849,i2-i30-0770,scene-0770,scene-0770:image:34
0.0,0.000608,0.002374,0.002301,0.001898,1.360229,0.001152,,0.404473,0.098795,,0.538122,NVTX inference includes CUDA event synchronization,3124283815974694,0.315652,3.353823,6.316975999999999,1.4926509999999995,8.411275999999999,0.095116,1.263367,0.766484,3.95285,1.14846,0.005088,0.002912,3.403173,1.69966,0.843988,10.618484,26.7272,0.330967,1.357901,10103891382,10040531811,35,63.359571,dino,False,8.726928,1.476544,i2-i30-0770,scene-0770,scene-0770:image:35
0.0,0.0,0.002122,0.002902,0.001719,1.373321,0.0,,0.428969,0.09333,,0.529818,NVTX inference includes CUDA event synchronization,3124283940403620,0.32906,6.034197,5.982494000000001,1.4737940000000007,8.085615,0.105989,1.220691,0.954377,3.593573,1.057451,0.001088,0.007712,4.480475,1.661017,1.025449,10.182416,26.61004,0.422632,1.757633,10228321650,10165812703,36,62.508947,dino,False,8.414675,1.56651,i2-i30-0770,scene-0770,scene-0770:image:36
0.0,0.0,0.002099,0.002314,0.001771,1.376928,0.0,,0.429889,0.09598,,0.542137,NVTX inference includes CUDA event synchronization,3124284010159382,0.325346,3.375345,5.9755259999999994,1.4466959999999993,8.101298,0.104974,1.230395,0.925865,3.599885,1.110381,0.000512,0.007936,4.400755,1.64566,1.00097,10.087282,26.877448,0.411913,1.716408,10298076159,10235240523,37,62.835636,dino,False,8.426644,1.469551,i2-i30-0770,scene-0770,scene-0770:image:37
0.0,0.0,0.002236,0.003103,0.001829,1.370686,0.000544,,0.42676,0.092728,,0.550331,NVTX inference includes CUDA event synchronization,3124284079706187,0.332867,3.384081,5.902862000000001,1.4600280000000003,8.018212,0.105829,1.213678,0.931888,3.590844,1.040587,0.00112,0.007105,4.416909,1.654422,1.004304,10.185151,26.633662,0.40857,1.700313,10367623952,10304955397,38,62.668555,dino,False,8.351079,1.531521,i2-i30-0770,scene-0770,scene-0770:image:38
0.000295,0.000542,0.001965,0.002427,0.00182,1.317917,0.0,,0.421837,0.09269,,0.548871,NVTX inference includes CUDA event synchronization,3124284149139799,0.333606,3.36595,5.621408,1.4390149999999995,7.676166,0.103391,1.217509,0.870015,3.341591,1.030155,0.000576,0.00752,4.324557,1.663529,0.943808,10.15561,26.593172,0.40657,1.702007,10437056883,10374432133,39,62.62475,dino,False,8.009772,1.44999,i2-i30-0770,scene-0770,scene-0770:image:39
0.0,0.0,0.001946,0.002316,0.001866,1.351538,0.000959,,0.46087,0.095409,,0.54926,NVTX inference includes CUDA event synchronization,3124284249959923,0.354468,5.951484,5.806248999999999,1.4681469999999992,7.915945,0.108059,1.196072,1.010262,3.415068,1.064302,0.000544,0.007959,4.461932,1.64699,1.08143,10.262581,26.652031,0.427793,1.757852,10537876877,10475147131,40,62.729746,dino,False,8.270413,2.042518,i2-i30-0770,scene-0770,scene-0770:image:40
0.0,0.000544,0.002365,0.002919,0.001811,1.339719,0.0,,0.420514,0.094354,,0.552126,NVTX inference includes CUDA event synchronization,3124284319622901,0.333542,3.342031,5.95921,1.4415139999999997,8.04002,0.103487,1.320258,0.885196,3.549465,1.066378,0.000576,0.006688,4.335243,1.754342,0.958925,10.167551,26.638123,0.402012,1.71673,10607540463,10544692726,41,62.847737,dino,False,8.373562,1.485848,i2-i30-0770,scene-0770,scene-0770:image:41
0.0,0.000512,0.002238,0.002109,0.00187,1.370974,0.0,,0.483181,0.092031,,0.540918,NVTX inference includes CUDA event synchronization,3124284448796393,0.357925,11.677401,5.944882,1.4744920000000006,8.08079,0.117671,1.252262,1.1645,3.358003,1.063307,0.000992,0.007488,4.580061,1.703213,1.234772,10.201329,26.629546,0.4257,1.745268,10736713109,10673954742,42,62.758367,dino,False,8.438715,2.636578,i2-i30-0770,scene-0770,scene-0770:image:42
0.0,0.000544,0.00212,0.002303,0.001765,1.349224,0.0,,0.422374,0.099548,,0.535658,NVTX inference includes CUDA event synchronization,3124284518311969,0.329284,3.336469,5.894178999999999,1.4315220000000002,7.978431,0.103692,1.255227,0.883231,3.550703,1.075436,0.000544,0.00736,4.308686,1.687552,0.956544,10.135057,26.632843,0.404011,1.692504,10806229007,10743497037,43,62.73197,dino,False,8.307715,1.454889,i2-i30-0770,scene-0770,scene-0770:image:43
0.0,0.000544,0.002673,0.002293,0.001727,1.34515,0.0,,0.420467,0.100649,,0.533045,NVTX inference includes CUDA event synchronization,3124284587857213,0.331814,3.400787,5.720198000000001,1.4350690000000004,7.794932000000001,0.103819,1.210766,0.894178,3.437684,1.03739,0.000512,0.007328,4.365227,1.656372,0.968099,10.190925,26.581159,0.40627,1.711974,10875774134,10813335035,44,62.439099,dino,False,8.126746,1.517983,i2-i30-0770,scene-0770,scene-0770:image:44
0.0,0.0,0.002362,0.002407,0.001781,1.34215,0.0,,0.429485,0.093108,,0.542557,NVTX inference includes CUDA event synchronization,3124284659013174,0.331941,3.363366,5.882802,1.4324639999999995,7.964711,0.104576,1.231409,0.894827,3.544884,1.080076,0.000512,0.007904,4.343204,1.668953,0.967244,10.109319,26.567655,0.402938,1.703687,10946929821,10884398923,45,62.530898,dino,False,8.296652,3.20988,i2-i30-0770,scene-0770,scene-0770:image:45
0.0,0.001216,0.002075,0.002308,0.001643,1.366491,0.0,,0.445199,0.093197,,0.533496,NVTX inference includes CUDA event synchronization,3124284745842985,0.334564,3.542135,5.974499,1.4860849999999992,8.08556,0.111197,1.223616,0.979285,3.555543,1.055726,0.001216,0.007456,4.457928,1.671623,1.050839,10.293876,26.588147,0.416023,1.740606,11033759926,10971122593,46,62.637333,dino,False,8.420124,1.53097,i2-i30-0770,scene-0770,scene-0770:image:46
0.0,0.0,0.002096,0.002357,0.001844,1.401058,0.0,,0.445411,0.096329,,0.573296,NVTX inference includes CUDA event synchronization,3124284816946208,0.335523,3.389058,6.149836,1.5427819999999999,8.336704,0.108344,1.29115,0.927741,3.61807,1.175916,0.000544,0.00768,4.386041,1.724946,1.003326,10.292218,27.090034,0.409321,1.73914,11104863205,11040834779,47,64.028426,dino,False,8.672227,1.471584,i2-i30-0770,scene-0770,scene-0770:image:47
0.0,0.0,0.002916,0.002228,0.001699,1.354115,0.000576,,0.478878,0.093237,,0.53829,NVTX inference includes CUDA event synchronization,3124284948342813,0.348772,11.821535,5.978757000000001,1.470199000000001,8.101924,0.117543,1.206176,1.17834,3.412409,1.057581,0.000512,0.007936,4.595076,1.655781,1.248772,10.199158,26.720692,0.419519,1.766609,11236259547,11173424056,48,62.835491,dino,False,8.450696,2.696175,i2-i30-0770,scene-0770,scene-0770:image:48
0.0,0.0,0.002163,0.002548,0.001827,1.364329,0.001184,,0.43271,0.094522,,0.536044,NVTX inference includes CUDA event synchronization,3124285018019598,0.334884,3.375659,5.9072059999999995,1.4322059999999999,8.007648999999999,0.10572,1.244972,0.887609,3.597037,1.067405,0.000512,0.007072,4.404656,1.67336,0.964346,10.15944,26.590563,0.404292,1.69761,11305936606,11243222013,49,62.714593,dino,False,8.342533,1.491178,i2-i30-0770,scene-0770,scene-0770:image:49
0.0,0.000608,0.002133,0.002338,0.001763,1.351709,0.0,,0.417221,0.097504,,0.54533,NVTX inference includes CUDA event synchronization,3124285087535039,0.330917,3.418699,5.834116999999999,1.4811569999999996,7.921805999999999,0.105659,1.22441,0.888787,3.512604,1.03233,0.000512,0.007264,4.340779,1.671133,0.962388,10.252012,26.549171,0.400483,1.716607,11375452339,11312953280,50,62.499059,dino,False,8.252723,1.462129,i2-i30-0770,scene-0770,scene-0770:image:50
0.0,0.0,0.002086,0.002293,0.001779,1.288109,0.0,,0.420603,0.093247,,0.533804,NVTX inference includes CUDA event synchronization,3124285157104732,0.324099,3.390272,5.806078,1.4213330000000006,7.8239,0.106157,1.220512,0.896424,3.470826,1.024491,0.000608,0.007648,4.375479,1.653828,0.971753,10.087378,26.56896,0.401642,1.696013,11445021988,11382547782,51,62.474206,dino,False,8.147999,1.462373,i2-i30-0770,scene-0770,scene-0770:image:51
0.0,0.001696,0.002711,0.002282,0.001882,1.392836,0.000576,,0.453923,0.097933,,0.507775,NVTX inference includes CUDA event synchronization,3124285246936214,0.342978,3.879147,6.0488349999999995,1.450913,8.167470999999999,0.105199,1.234351,0.980264,3.703328,1.028394,0.001152,0.006848,4.462926,1.639027,1.051786,10.050204,26.597931,0.414076,1.757052,11534853254,11472513400,52,62.339854,dino,False,8.510449,2.406723,i2-i30-0770,scene-0770,scene-0770:image:52
0.0,0.000118,0.002156,0.002427,0.001995,1.375636,0.0,,0.427082,0.095687,,0.547253,NVTX inference includes CUDA event synchronization,3124285316422873,0.32989,3.352073,6.055900000000001,1.4614130000000012,8.178364,0.103438,1.371595,0.882018,3.564688,1.118862,0.00048,0.00576,4.351257,1.805105,0.953027,10.183704,26.661603,0.397756,1.711518,11604340468,11541669435,53,62.671033,dino,False,8.508254,1.452723,i2-i30-0770,scene-0770,scene-0770:image:53
0.0,0.0,0.002529,0.002441,0.001764,1.36018,0.000237,,0.631673,0.09325,,0.529257,NVTX inference includes CUDA event synchronization,3124285447744011,0.43847,11.020398,5.875784000000001,1.4569290000000006,8.058645,0.119228,1.194175,1.277946,3.400216,1.040012,0.00048,0.008129,4.536641,1.641379,1.348186,10.241255,26.59389,0.422284,1.78559,11735661016,11672930782,54,62.730234,dino,False,8.497115,2.769104,i2-i30-0770,scene-0770,scene-0770:image:54
0.000288,0.0,0.002454,0.002378,0.001738,1.352263,0.0,,0.535446,0.09638,,0.550488,NVTX inference includes CUDA event synchronization,3124285518356452,0.348005,3.373383,5.965642000000001,1.4689810000000003,8.159072,0.104913,1.258267,0.903929,3.679681,1.08321,0.00064,0.007456,4.358975,1.692732,0.979514,10.333557,26.910969,0.40462,1.684506,11806274125,11742559324,55,63.714801,dino,False,8.507077,1.46512,i2-i30-0770,scene-0770,scene-0770:image:55
0.0,0.0,0.001958,0.002264,0.001681,1.396886,0.0,,0.480924,0.097012,,0.555471,NVTX inference includes CUDA event synchronization,3124285589583906,0.347622,3.568273,6.268786,1.6127660000000006,8.457360000000001,0.116723,1.276459,1.017611,3.592672,1.178926,0.001217,0.008608,4.612096,1.722002,1.091084,10.291821,26.760305,0.438872,1.81993,11877501011,11814280257,56,63.220754,dino,False,8.804982,1.861352,i2-i30-0770,scene-0770,scene-0770:image:56
0.0,0.000576,0.001988,0.002825,0.001843,1.36947,0.0,,0.436058,0.093986,,0.529842,NVTX inference includes CUDA event synchronization,3124285659551725,0.333507,3.345203,5.993691,1.5186620000000008,8.096772000000001,0.106277,1.209216,0.884776,3.524103,1.178893,0.000576,0.007776,4.318009,1.639718,0.956329,10.067642,26.83927,0.396875,1.69498,11947469295,11884656678,57,62.812617,dino,False,8.430279,1.875889,i2-i30-0770,scene-0770,scene-0770:image:57
0.0,0.0,0.002079,0.002732,0.001677,1.346221,0.0,,0.427913,0.098157,,0.529194,NVTX inference includes CUDA event synchronization,3124285745459105,0.331238,3.486049,5.71997,1.454428,7.796705,0.109803,1.222572,0.942557,3.326826,1.062892,0.001088,0.007777,4.421847,1.672562,1.01379,10.041829,26.684758,0.41357,1.726447,12033376619,11970936702,58,62.439917,dino,False,8.127943,1.518994,i2-i30-0770,scene-0770,scene-0770:image:58
