adverse_median,clear_baseline_id,clear_median,condition_id,median_paired_change,median_ratio,metric,modality,sample_count
9.162950992584229,clear,9.715469360351562,r15,-0.5579400062561035,0.9431300385731091,range_std_m,lidar,384
1.9855618476867676,clear,1.6552540063858032,r25,0.3233743906021118,1.1995511504739877,horizontal_gradient_mean,image,229
900.0,clear,900.0,r25,0.0,1.0,image_height,image,229
1600.0,clear,1600.0,r25,0.0,1.0,image_width,image,229
235503.0,clear,121789.0,r25,113556.0,1.9336968034879998,jpeg_bytes,image,229
100.37611389160156,clear,100.83509826660156,r25,-0.4636077880859375,0.995448168515823,luminance_mean,image,229
58.48038864135742,clear,61.71021270751953,r25,-2.941150665283203,0.9476614335868503,luminance_std,image,229
2.220454692840576,clear,2.2907495498657227,r25,-0.08191657066345215,0.9693135999833474,vertical_gradient_mean,image,229
14.932551860809326,clear,15.271198272705078,r25,-0.33700084686279297,0.9778245029729572,intensity_mean,lidar,384
20.16769790649414,clear,20.7785062789917,r25,-0.586115837097168,0.970603836276955,intensity_std,lidar,384
33093.0,clear,34720.0,r25,-1633.5,0.9531394009216589,point_count,lidar,384
15325.5,clear,15549.0,r25,-21.5,0.985626085278796,points_0_5m,lidar,384
1597.5,clear,2100.0,r25,-534.0,0.7607142857142857,points_20_40m,lidar,384
546.5,clear,682.0,r25,-137.0,0.8013196480938416,points_40m_plus,lidar,384
15612.5,clear,16422.0,r25,-835.0,0.9507063695043235,points_5_20m,lidar,384
7.919927597045898,clear,8.409072399139404,r25,-0.5743157863616943,0.9418313009002556,range_mean_m,lidar,384
8.92687177658081,clear,9.715469360351562,r25,-0.8051438331604004,0.9188307271093884,range_std_m,lidar,384
2.360318183898926,clear,1.6552540063858032,r50,0.6924091577529907,1.425955276225314,horizontal_gradient_mean,image,229
900.0,clear,900.0,r50,0.0,1.0,image_height,image,229
1600.0,clear,1600.0,r50,0.0,1.0,image_width,image,229
255146.0,clear,121789.0,r50,133419.0,2.0949839476471603,jpeg_bytes,image,229
100.38786315917969,clear,100.83509826660156,r50,-0.45264434814453125,0.995564688138257,luminance_mean,image,229
56.84740447998047,clear,61.71021270751953,r50,-4.411224365234375,0.9211992956403062,luminance_std,image,229
2.195976734161377,clear,2.2907495498657227,r50,-0.10609769821166992,0.9586280325974958,vertical_gradient_mean,image,229
14.456260204315186,clear,15.271198272705078,r50,-0.8256144523620605,0.946635617334203,intensity_mean,lidar,384
19.848576545715332,clear,20.7785062789917,r50,-0.8922996520996094,0.9552455926913004,intensity_std,lidar,384
32837.5,clear,34720.0,r50,-1888.0,0.945780529953917,point_count,lidar,384
15520.5,clear,15549.0,r50,160.0,0.9981670846999807,points_0_5m,lidar,384
1537.0,clear,2100.0,r50,-588.5,0.731904761904762,points_20_40m,lidar,384
292.0,clear,682.0,r50,-389.0,0.4281524926686217,points_40m_plus,lidar,384
15490.0,clear,16422.0,r50,-953.0,0.9432468639629765,points_5_20m,lidar,384
7.4141130447387695,clear,8.409072399139404,r50,-1.0391719341278076,0.881680248762936,range_mean_m,lidar,384
7.64850378036499,clear,9.715469360351562,r50,-2.0922765731811523,0.7872500541845384,range_std_m,lidar,384
